stop_id;stop_name;stop_lat;stop_lon;stop_code;location_type;parent_station;wheelchair_boarding;stop_direction
F00534;Királyhelmec utca;47.553016;19.022440;F00534;;CSF00536;2;131
F00535;Farkastorki út;47.553803;19.021193;;;;2;133
F00536;Királyhelmec utca;47.553510;19.021868;F00536;;CSF00536;2;-46
F00537;Judit utca;47.556113;19.018256;F00537;;CSF00537;2;-42
F00538;Judit utca;47.556005;19.018282;F00538;;CSF00537;2;131
F00539;Laborc utca;47.557758;19.015544;F00539;;CSF00539;2;-53
F00540;Laborc utca;47.557633;19.015638;F00540;;CSF00539;2;97
F00541;Jablonka út 53.;47.558945;19.013152;F00541;;CSF00543;2;-40
F00542;Jablonka út 58.;47.559071;19.012753;F00542;;CSF00543;2;127
F00543;Jablonka út 73.;47.560500;19.010959;F00543;;CSF00543;2;-28
F00544;Jablonka út 74.;47.560266;19.011131;F00544;;CSF00543;2;117
F00545;Jablonka út;47.562091;19.008167;;;;2;
F00546;Erdőalja út;47.559451;19.006597;;;;2;86
F00547;Áldomás utca;47.562120;19.035658;F00547;;CSF00547;2;10
F00548;Áldomás utca;47.562066;19.035512;F00548;;CSF00547;2;-169
F00549;Kubik utca;47.562595;19.023565;F00549;;CSF00549;2;-16
F00550;Kubik utca;47.561381;19.023964;F00550;;CSF00549;2;162
F00551;Hedvig utca;47.556084;19.011267;F00551;;CSF00552;2;-29
F00552;Hedvig utca;47.556093;19.011108;F00552;;CSF00552;2;149
F00553;Erdőalja út 43.;47.553513;19.014006;;;;2;-24
F00554;Viharhegyi út;47.552654;19.014442;F00554;;CSF00555;2;150
F00555;Viharhegyi út;47.553113;19.014349;F00555;;CSF00555;2;-11
F00556;Körtvélyes köz;47.553338;19.017351;F00556;;CSF00556;2;-82
F00557;Körtvélyes utca;47.553217;19.017367;F00557;;CSF00556;2;89
F00558;Óbudai temető;47.564466;19.022581;F00558;;CSF00522;2;164
F00559;Iskola;47.550401;19.016067;F00559;;CSF00559;2;-44
F00560;Iskola;47.550168;19.016306;F00560;;CSF00559;2;124
F00561;Királylaki út;47.549056;19.014843;F00561;;CSF00561;2;-48
F00562;Királylaki út;47.548813;19.015122;F00562;;CSF00561;2;126
F00563;Máramaros út;47.546619;19.017129;;;;2;85
F00564;Táborhegyi út;47.550156;19.025896;F00564;;CSF00564;2;-50
F00565;Táborhegyi út;47.549661;19.026454;F00565;;CSF00564;2;135
F00566;Bécsi út / Vörösvári út;47.548681;19.027796;F00566;;CSF00571;2;-47
F00567;Bécsi út / Vörösvári út;47.547902;19.029636;F00567;;CSF00571;2;62
F00568;Bécsi út / Vörösvári út;47.548489;19.028994;F00568;;CSF00571;1;
F00569;Bécsi út / Vörösvári út;47.548766;19.029370;F00569;;CSF00571;1;
F00570;Bécsi út / Vörösvári út;47.548421;19.029603;F00570;;CSF00571;2;141
F00571;Bécsi út (Vörösvári út);47.550319;19.028686;F00571;;CSF00571;2;
F00573;Óbuda, Bogdáni út;47.550725;19.041825;F00573;;CS003118;1;
F00574;Óbuda, Bogdáni út;47.550539;19.042058;F00574;;CS003118;1;
F00575;Óbuda, Bogdáni út;47.550212;19.041985;F00575;;CS003118;1;-178
F00576;Bogdáni út;47.550212;19.043938;F00576;;CS003118;2;6
F00577;Bogdáni út;47.548434;19.043134;;;;2;-171
F00578;Filatorigát;47.551858;19.046356;F00578;;CSF00579;2;-26
F00579;Filatorigát;47.551948;19.046130;F00579;;CSF00579;2;150
F00580;Raktár utca;47.545328;19.042809;F00580;;CSF00580;2;11
F00581;Raktár utca;47.544986;19.042729;F00581;;CSF00580;2;10
F00582;Raktár utca;47.545085;19.042331;F00582;;CSF00580;2;
F00583;Raktár utca;47.544647;19.042231;F00583;;CSF00580;2;-171
F00584;Óbudai rendelőintézet;47.546721;19.032633;F00584;;CSF00584;2;-41
F00585;Óbudai rendelőintézet;47.545493;19.033634;F00585;;CSF00584;1;128
F00586;Óbudai rendelőintézet;47.545957;19.033456;F00586;;CSF00584;1;-42
F00587;Óbudai rendelőintézet;47.544878;19.034772;F00587;;CSF00584;1;134
F00588;Vihar utca;47.543987;19.036393;;;;2;-43
F00589;Szőlő utca;47.543529;19.036473;;;;2;134
F00590;Váradi utca;47.543524;19.029926;F00590;;CSF00591;1;170
F00591;Váradi utca;47.543830;19.029979;F00591;;CSF00591;1;-9
F00592;Váradi utca;47.543510;19.031491;F00592;;CSF00591;2;-101
F00594;Szent Margit Kórház;47.540619;19.030910;F00594;;CSF00594;2;-13
F00595;Szent Margit Kórház;47.540277;19.030950;F00595;;CSF00594;2;165
F00596;Szent Margit Kórház;47.539939;19.031320;F00596;;CSF00594;2;-16
F00597;Szent Margit Kórház;47.540457;19.030724;F00597;;CSF00594;1;164
F00598;Katinyi mártírok parkja;47.532615;19.036517;F00598;;CSF00598;1;-41
F00599;Katinyi mártírok parkja;47.532318;19.036703;F00599;;CSF00598;1;143
F00600;Katinyi mártírok parkja;47.532525;19.036716;F00600;;CSF00598;1;-41
F00601;Katinyi mártírok parkja;47.532399;19.036450;F00601;;CSF00598;1;140
F00602;Galagonya utca;47.530106;19.039346;;;;2;-164
F00603;Nagyszombat utca;47.531863;19.040021;;;;2;-8
F00604;Tímár utca;47.535173;19.039901;F00604;;CSF00604;2;2
F00605;Tímár utca;47.534339;19.039748;F00605;;CSF00604;2;180
F00606;Kiscelli utca;47.538753;19.040459;F00606;;CSF00607;2;13
F00607;Kiscelli utca;47.539260;19.040425;F00607;;CSF00607;2;-167
F00608;Remetehegyi út;47.535342;19.027243;;;;2;
F00609;Mikoviny utca;47.532140;19.029051;;;;2;-18
F00610;Kőzet utca;47.532878;19.028453;;;;2;157
F00611;Flórián tér;47.542989;19.042251;F00611;;CSF00611;2;11
F00612;Flórián tér;47.542003;19.041222;F00612;;CSF00611;2;-167
F00613;Flórián tér;47.541676;19.040073;F00613;;CSF00611;2;-49
F00614;Flórián tér;47.541517;19.039960;F00614;;CSF00611;1;-48
F00615;Flórián tér;47.541109;19.040538;F00615;;CSF00611;1;132
F00616;Flórián tér;47.541739;19.039183;F00616;;CSF00611;2;139
F00617;ATI;47.570446;19.018391;F00617;;CSF00617;2;-30
F00618;ATI;47.569628;19.018923;F00618;;CSF00617;2;150
F00619;Szentlélek tér H;47.539904;19.045878;F00619;;CSF00621;2;
F00620;Szentlélek tér H;47.539787;19.046303;F00620;;CSF00621;2;
F00621;Szentlélek tér H;47.540210;19.045904;F00621;;CSF00621;2;
F00622;Szentlélek tér H;47.540165;19.046263;F00622;;CSF00621;2;
F00623;Szentlélek tér H;47.540120;19.046502;F00623;;CSF00621;2;
F00624;Szentlélek tér;47.539541;19.047207;F00624;;CSF00625;2;-2
F00625;Szentlélek tér;47.539730;19.047114;F00625;;CSF00625;2;179
F00626;Szentlélek tér H;47.539593;19.045207;F00626;;CSF00621;1;-79
F00627;Szentlélek tér H;47.539715;19.045758;F00627;;CSF00621;2;-57
F00628;Szentlélek tér H;47.539239;19.045692;F00628;;CSF00621;2;101
F00629;Szentlélek tér H;47.539377;19.045937;F00629;;CSF00621;1;103
F00630;Bóbita utca;47.572856;19.016290;F00630;;CSF00630;2;-36
F00631;Bóbita utca;47.571957;19.016968;F00631;;CSF00630;2;151
F00632;Tímár utca;47.534328;19.045068;F00632;;CSF00632;2;33
F00633;Tímár utca;47.533599;19.044218;F00633;;CSF00632;2;-148
F00634;Szélvész utca;47.531391;19.020769;F00634;;CSF00635;2;-50
F00635;Szélvész utca;47.531401;19.020379;F00635;;CSF00635;2;112
F00636;Madzsar József utca / Hadrianus utca;47.603002;19.059267;F00636;;CSF00637;2;25
F00637;Madzsar József utca / Hadrianus utca;47.604044;19.060052;F00637;;CSF00637;2;-112
F00638;Hadrianus utca;47.604062;19.063324;F00638;;CSF00638;2;-90
F00639;Hadrianus utca;47.603937;19.062951;F00639;;CSF00638;1;61
F00641;Békásmegyer, Újmegyeri tér;47.603082;19.066341;F00641;;CSF00641;2;
F00642;Békásmegyer, Újmegyeri tér;47.602606;19.065956;F00642;;CSF00641;2;
F00644;Békásmegyer, Újmegyeri tér;47.602767;19.066315;F00644;;CSF00641;2;
F00645;Bálint György utca;47.599277;19.064971;F00645;;CSF00646;2;20
F00646;Bálint György utca;47.600042;19.065144;F00646;;CSF00646;1;179
